agent,refactoring_type,count,agent_total,share_pct
Human,Remove Parameter Modifier,72,11659,0.6175486748434685
Human,Add Class Annotation,69,11659,0.591817480058324
Human,Extract Attribute,65,11659,0.557509220344798
Human,Remove Attribute Annotation,61,11659,0.523200960631272
Human,Replace Variable With Attribute,56,11659,0.48031563598936444
Human,Parameterize Variable,54,11659,0.46316150613260143
Human,Split Conditional,52,11659,0.4460073762758384
Human,Move Source Folder,51,11659,0.43743031134745686
Human,Modify Class Annotation,49,11659,0.4202761814906939
Human,Extract Superclass,47,11659,0.40312205163393083
Human,Invert Condition,46,11659,0.3945449867055494
Human,Rename Package,42,11659,0.3602367269920233
Human,Merge Conditional,41,11659,0.35165966206364185
Human,Remove Method Modifier,41,11659,0.35165966206364185
Human,Replace Attribute With Variable,41,11659,0.35165966206364185
Human,Add Thrown Exception Type,39,11659,0.3345055322068788
Human,Remove Class Modifier,39,11659,0.3345055322068788
Human,Inline Method,35,11659,0.30019727249335276
Human,Move Code,35,11659,0.30019727249335276
Human,Replace Anonymous With Lambda,35,11659,0.30019727249335276
Human,Replace Generic With Diamond,30,11659,0.25731194785144523
Human,Parameterize Attribute,27,11659,0.23158075306630072
Human,Remove Class Annotation,24,11659,0.2058495582811562
Human,Push Down Method,23,11659,0.1972724933527747
Human,Move Package,18,11659,0.15438716871086713
Human,Remove Parameter Annotation,17,11659,0.14581010378248563
Human,Modify Method Annotation,16,11659,0.13723303885410412
Human,Push Down Attribute,16,11659,0.13723303885410412
Human,Remove Variable Modifier,15,11659,0.12865597392572262
Human,Move And Inline Method,12,11659,0.1029247791405781
Human,Localize Parameter,11,11659,0.09434771421219658
Human,Move And Rename Attribute,11,11659,0.09434771421219658
Human,Extract Interface,10,11659,0.08577064928381507
Human,Replace Anonymous With Class,10,11659,0.08577064928381507
Human,Split Method,10,11659,0.08577064928381507
Human,Modify Attribute Annotation,8,11659,0.06861651942705206
Human,Remove Thrown Exception Type,8,11659,0.06861651942705206
Human,Extract Subclass,7,11659,0.060039454498670555
Human,Merge Class,6,11659,0.05146238957028905
Human,Replace Conditional With Ternary,6,11659,0.05146238957028905
Human,Change Type Declaration Kind,4,11659,0.03430825971352603
Human,Merge Attribute,4,11659,0.03430825971352603
Human,Merge Parameter,4,11659,0.03430825971352603
Human,Reorder Parameter,4,11659,0.03430825971352603
Human,Split Attribute,3,11659,0.025731194785144525
Human,Split Parameter,3,11659,0.025731194785144525
Human,Inline Attribute,2,11659,0.017154129856763015
Human,Merge Package,2,11659,0.017154129856763015
Human,Merge Variable,2,11659,0.017154129856763015
Human,Merge Method,1,11659,0.008577064928381508
Human,Split Class,1,11659,0.008577064928381508
Human,Split Package,1,11659,0.008577064928381508
OpenAI_Codex,Rename Parameter,556,3599,15.448735759933315
OpenAI_Codex,Change Variable Type,341,3599,9.474854126146152
OpenAI_Codex,Add Method Annotation,252,3599,7.001944984717976
OpenAI_Codex,Change Method Access Modifier,239,3599,6.640733537093638
OpenAI_Codex,Change Attribute Type,210,3599,5.834954153931648
OpenAI_Codex,Rename Variable,199,3599,5.529313698249514
OpenAI_Codex,Rename Method,195,3599,5.418171714365101
OpenAI_Codex,Remove Method Annotation,178,3599,4.945818282856349
OpenAI_Codex,Add Attribute Annotation,175,3599,4.86246179494304
OpenAI_Codex,Remove Attribute Annotation,131,3599,3.639899972214504
OpenAI_Codex,Extract Variable,106,3599,2.945262572936927
OpenAI_Codex,Rename Attribute,85,3599,2.361767157543762
OpenAI_Codex,Extract Method,83,3599,2.306196165601556
OpenAI_Codex,Change Attribute Access Modifier,72,3599,2.0005557099194218
OpenAI_Codex,Add Attribute Modifier,57,3599,1.5837732703528755
OpenAI_Codex,Change Parameter Type,57,3599,1.5837732703528755
OpenAI_Codex,Change Return Type,57,3599,1.5837732703528755
OpenAI_Codex,Change Class Access Modifier,54,3599,1.5004167824395664
OpenAI_Codex,Remove Thrown Exception Type,46,3599,1.2781328146707418
OpenAI_Codex,Add Class Annotation,44,3599,1.2225618227285358
OpenAI_Codex,Add Parameter,43,3599,1.1947763267574325
OpenAI_Codex,Remove Attribute Modifier,43,3599,1.1947763267574325
OpenAI_Codex,Extract And Move Method,40,3599,1.1114198388441234
OpenAI_Codex,Add Thrown Exception Type,28,3599,0.7779938871908864
OpenAI_Codex,Inline Method,25,3599,0.6946373992775771
OpenAI_Codex,Add Variable Modifier,24,3599,0.666851903306474
OpenAI_Codex,Inline Variable,23,3599,0.6390664073353709
OpenAI_Codex,Remove Parameter,16,3599,0.4445679355376493
OpenAI_Codex,Change Thrown Exception Type,13,3599,0.3612114476243401
OpenAI_Codex,Remove Class Annotation,12,3599,0.333425951653237
OpenAI_Codex,Remove Variable Modifier,12,3599,0.333425951653237
OpenAI_Codex,Modify Method Annotation,11,3599,0.30564045568213394
OpenAI_Codex,Pull Up Method,11,3599,0.30564045568213394
OpenAI_Codex,Add Method Modifier,10,3599,0.27785495971103086
OpenAI_Codex,Move Attribute,10,3599,0.27785495971103086
OpenAI_Codex,Rename Class,10,3599,0.27785495971103086
OpenAI_Codex,Add Parameter Annotation,8,3599,0.22228396776882464
OpenAI_Codex,Assert Throws,8,3599,0.22228396776882464
OpenAI_Codex,Push Down Method,8,3599,0.22228396776882464
OpenAI_Codex,Add Class Modifier,7,3599,0.1944984717977216
OpenAI_Codex,Move Method,7,3599,0.1944984717977216
OpenAI_Codex,Try With Resources,7,3599,0.1944984717977216
OpenAI_Codex,Modify Attribute Annotation,6,3599,0.1667129758266185
OpenAI_Codex,Parameterize Variable,6,3599,0.1667129758266185
OpenAI_Codex,Remove Method Modifier,6,3599,0.1667129758266185
OpenAI_Codex,Replace Variable With Attribute,6,3599,0.1667129758266185
OpenAI_Codex,Extract Class,5,3599,0.13892747985551543
OpenAI_Codex,Move And Inline Method,4,3599,0.11114198388441232
OpenAI_Codex,Pull Up Attribute,4,3599,0.11114198388441232
OpenAI_Codex,Replace Attribute With Variable,4,3599,0.11114198388441232
OpenAI_Codex,Split Conditional,4,3599,0.11114198388441232
OpenAI_Codex,Collapse Hierarchy,3,3599,0.08335648791330925
OpenAI_Codex,Encapsulate Attribute,3,3599,0.08335648791330925
OpenAI_Codex,Extract Attribute,3,3599,0.08335648791330925
OpenAI_Codex,Invert Condition,3,3599,0.08335648791330925
OpenAI_Codex,Localize Parameter,3,3599,0.08335648791330925
OpenAI_Codex,Move And Rename Method,3,3599,0.08335648791330925
OpenAI_Codex,Push Down Attribute,3,3599,0.08335648791330925
OpenAI_Codex,Merge Conditional,2,3599,0.05557099194220616
OpenAI_Codex,Modify Class Annotation,2,3599,0.05557099194220616
OpenAI_Codex,Move Class,2,3599,0.05557099194220616
OpenAI_Codex,Move Code,2,3599,0.05557099194220616
OpenAI_Codex,Remove Parameter Modifier,2,3599,0.05557099194220616
OpenAI_Codex,Replace Pipeline With Loop,2,3599,0.05557099194220616
OpenAI_Codex,Add Variable Annotation,1,3599,0.02778549597110308
OpenAI_Codex,Change Type Declaration Kind,1,3599,0.02778549597110308
OpenAI_Codex,Merge Method,1,3599,0.02778549597110308
OpenAI_Codex,Move And Rename Attribute,1,3599,0.02778549597110308
OpenAI_Codex,Parameterize Attribute,1,3599,0.02778549597110308
OpenAI_Codex,Replace Attribute,1,3599,0.02778549597110308
OpenAI_Codex,Replace Loop With Pipeline,1,3599,0.02778549597110308
OpenAI_Codex,Split Method,1,3599,0.02778549597110308
